,ID
0,https://goods.ruten.com.tw/item/show?21306013652122
1,https://goods.ruten.com.tw/item/show?21919391256750
2,https://goods.ruten.com.tw/item/show?21904684329839
3,https://goods.ruten.com.tw/item/show?21707288442128
4,https://goods.ruten.com.tw/item/show?21807687309214
5,https://goods.ruten.com.tw/item/show?21445663189650
6,https://goods.ruten.com.tw/item/show?21103186153236
7,https://goods.ruten.com.tw/item/show?21750430576112
8,https://goods.ruten.com.tw/item/show?21836602202833
9,https://goods.ruten.com.tw/item/show?21405087384787
10,https://goods.ruten.com.tw/item/show?21904684329839
11,https://goods.ruten.com.tw/item/show?21904694218815
12,https://goods.ruten.com.tw/item/show?21445663189650
13,https://goods.ruten.com.tw/item/show?21707288442128
14,https://goods.ruten.com.tw/item/show?21306013652122
15,https://goods.ruten.com.tw/item/show?21203025900419
16,https://goods.ruten.com.tw/item/show?21909976617793
17,https://goods.ruten.com.tw/item/show?21913485523025
18,https://goods.ruten.com.tw/item/show?21909976433216
19,https://goods.ruten.com.tw/item/show?21949986707350
20,https://goods.ruten.com.tw/item/show?21525849207241
21,https://goods.ruten.com.tw/item/show?21537623130812
22,https://goods.ruten.com.tw/item/show?21918266004155
23,https://goods.ruten.com.tw/item/show?21843839572765
24,https://goods.ruten.com.tw/item/show?21403239853213
25,https://goods.ruten.com.tw/item/show?21638684723358
26,https://goods.ruten.com.tw/item/show?21103186153236
27,https://goods.ruten.com.tw/item/show?21713682938347
28,https://goods.ruten.com.tw/item/show?21909976479946
29,https://goods.ruten.com.tw/item/show?21918315862589
30,https://goods.ruten.com.tw/item/show?21917115214903
31,https://goods.ruten.com.tw/item/show?21938941062331
32,https://goods.ruten.com.tw/item/show?21718121313101
33,https://goods.ruten.com.tw/item/show?21305104626897
34,https://goods.ruten.com.tw/item/show?21930169155877
35,https://goods.ruten.com.tw/item/show?21920438144086
36,https://goods.ruten.com.tw/item/show?21301099816268
37,https://goods.ruten.com.tw/item/show?21529156304480
38,https://goods.ruten.com.tw/item/show?21651827747358
39,https://goods.ruten.com.tw/item/show?21834531925474
40,https://goods.ruten.com.tw/item/show?21935636049367
41,https://goods.ruten.com.tw/item/show?21917115051104
42,https://goods.ruten.com.tw/item/show?21525849207241
43,https://goods.ruten.com.tw/item/show?21910116907388
44,https://goods.ruten.com.tw/item/show?21943622584387
45,https://goods.ruten.com.tw/item/show?21807687309214
46,https://goods.ruten.com.tw/item/show?21301274800963
47,https://goods.ruten.com.tw/item/show?21810729844174
48,https://goods.ruten.com.tw/item/show?21910076531971
49,https://goods.ruten.com.tw/item/show?21846003316701
50,https://goods.ruten.com.tw/item/show?21931321086523
51,https://goods.ruten.com.tw/item/show?21839693183878
52,https://goods.ruten.com.tw/item/show?21827314939953
53,https://goods.ruten.com.tw/item/show?21537623130812
54,https://goods.ruten.com.tw/item/show?21909976293681
55,https://goods.ruten.com.tw/item/show?21908857983088
56,https://goods.ruten.com.tw/item/show?21107058372804
57,https://goods.ruten.com.tw/item/show?21212138363978
58,https://goods.ruten.com.tw/item/show?21830384469626
59,https://goods.ruten.com.tw/item/show?21850220105051
60,https://goods.ruten.com.tw/item/show?21212185209553
61,https://goods.ruten.com.tw/item/show?21942419364915
62,https://goods.ruten.com.tw/item/show?21909976479946
63,https://goods.ruten.com.tw/item/show?21951082991018
64,https://goods.ruten.com.tw/item/show?21918315765884
65,https://goods.ruten.com.tw/item/show?21917115622715
66,https://goods.ruten.com.tw/item/show?21932363483060
67,https://goods.ruten.com.tw/item/show?21926848841788
68,https://goods.ruten.com.tw/item/show?21917121633398
69,https://goods.ruten.com.tw/item/show?21917114904289
70,https://goods.ruten.com.tw/item/show?21403239853213
71,https://goods.ruten.com.tw/item/show?21917121533386
72,https://goods.ruten.com.tw/item/show?21932363483060
73,https://goods.ruten.com.tw/item/show?21212149541541
74,https://goods.ruten.com.tw/item/show?21708325290841
75,https://goods.ruten.com.tw/item/show?21626010637813
76,https://goods.ruten.com.tw/item/show?21921523215564
77,https://goods.ruten.com.tw/item/show?21929132618745
78,https://goods.ruten.com.tw/item/show?21943564516297
79,https://goods.ruten.com.tw/item/show?21109024098062
0,https://goods.ruten.com.tw/item/show?21917114767466
1,https://goods.ruten.com.tw/item/show?21948952342975
2,https://goods.ruten.com.tw/item/show?21917114660446
3,https://goods.ruten.com.tw/item/show?21311145795616
4,https://goods.ruten.com.tw/item/show?21925787668269
5,https://goods.ruten.com.tw/item/show?21932361960901
6,https://goods.ruten.com.tw/item/show?21301274800963
7,https://goods.ruten.com.tw/item/show?21750430437679
8,https://goods.ruten.com.tw/item/show?21946858689398
9,https://goods.ruten.com.tw/item/show?21936668102318
10,https://goods.ruten.com.tw/item/show?21851254216175
11,https://goods.ruten.com.tw/item/show?21401240628088
12,https://goods.ruten.com.tw/item/show?21914677243411
13,https://goods.ruten.com.tw/item/show?21910076532691
14,https://goods.ruten.com.tw/item/show?21212258741331
15,https://goods.ruten.com.tw/item/show?21912378550182
16,https://goods.ruten.com.tw/item/show?21909976517567
17,https://goods.ruten.com.tw/item/show?21834531959459
18,https://goods.ruten.com.tw/item/show?21949014504920
19,https://goods.ruten.com.tw/item/show?21913485372948
20,https://goods.ruten.com.tw/item/show?21944652845561
21,https://goods.ruten.com.tw/item/show?21921523312663
22,https://goods.ruten.com.tw/item/show?21901443418760
23,https://goods.ruten.com.tw/item/show?21943618669566
24,https://goods.ruten.com.tw/item/show?21947879464102
25,https://goods.ruten.com.tw/item/show?21305144042354
26,https://goods.ruten.com.tw/item/show?21841771563511
27,https://goods.ruten.com.tw/item/show?21744289046478
28,https://goods.ruten.com.tw/item/show?21851254216175
29,https://goods.ruten.com.tw/item/show?21929132588088
30,https://goods.ruten.com.tw/item/show?21923621845058
31,https://goods.ruten.com.tw/item/show?21842800123887
32,https://goods.ruten.com.tw/item/show?21927969882889
